Question_Text,Subject,Topic,Difficulty
Critically evaluate and solve: Find the equation of the common tangent to the circle x^2 + y^2 = 8 and the parabola y^2 = 16x.,Mathematics,Coordinate Geometry,Hard
"Explain the band theory of metals, semiconductors, and insulators, detailing the role of doping (n-type and p-type) with appropriate examples from Group 13 and 15 elements.",Chemistry,Inorganic Chemistry,Hard
Advanced problem: Determine the value of the determinant of a matrix of order 3 where elements are given by a_ij = i^2 - j^2. Show detailed steps.,Mathematics,Algebra,Hard
"Critically evaluate and solve: One mole of a monoatomic ideal gas undergoes a cycle consisting of: (1) isothermal expansion, (2) isobaric compression, and (3) isochoric process. Compute the total work done and the thermodynamic efficiency of the cycle.",Physics,Thermodynamics,Hard
State clearly: What is the value of log_2(32)?,Mathematics,Algebra,Easy
Advanced problem: A spherical conductor of radius R has a charge Q. It is surrounded by a dielectric shell of thickness d and dielectric constant K. Calculate the electrostatic energy density in the dielectric. Show detailed steps.,Physics,Electrodynamics,Hard
"Critically evaluate and solve: Detail the phosphorus cycle in nature and compare it with the nitrogen cycle, explaining the main reservoirs, pathways, and the biological significance of nutrient cycling.",Biology,Ecology,Hard
State clearly: State Mendeleev's periodic law.,Chemistry,Inorganic Chemistry,Easy
Solve the following question: Discuss the structure and bonding in diborane (B2H6) showing three-center two-electron bonds.,Chemistry,Inorganic Chemistry,Medium
Calculate the osmotic pressure of a 5% urea solution at 273 Kelvin (R = 0.0821 L atm/mol K).,Chemistry,Physical Chemistry,Medium
Evaluate the limit: lim_{n -> infinity} sum_{r=1}^{n} 1 / n * sin(r * pi / n) as a definite Riemann sum.,Mathematics,Calculus,Hard
Describe the carbon cycle and the human activities that affect it.,Biology,Ecology,Medium
"Derive the expression for the magnetic field at any point on the axis of a Helmholtz coil carrying current I, and show that the field is uniform near the center.",Physics,Electrodynamics,Hard
State clearly: What is the hybridization of carbon in methane?,Chemistry,Organic Chemistry,Easy
Can you explain: What is pH? Calculate the pH of a 10^-3 M HCl solution.,Chemistry,Physical Chemistry,Easy
Solve the following question: A particle of mass m is projected with velocity v at an angle theta with the horizontal. Calculate its range.,Physics,Mechanics,Medium
State clearly: A car travels 100 meters in 5 seconds. Calculate its average speed.,Physics,Mechanics,Easy
Calculate the root mean square velocity of oxygen molecules at 27 degrees Celsius.,Physics,Thermodynamics,Medium
For JEE/NEET preparation: Explain the law of independent assortment with a dihybrid cross example.,Biology,Genetics,Medium
Solve the following question: Convert benzene to nitrobenzene and then to aniline. Write the reagents required.,Chemistry,Organic Chemistry,Medium
Critically evaluate and solve: Determine the value of the determinant of a matrix of order 3 where elements are given by a_ij = i^2 - j^2.,Mathematics,Algebra,Hard
Solve the following question: State Faraday's laws of electrolysis. Calculate the mass of copper deposited by a current of 2 A flowing for 1 hour.,Chemistry,Physical Chemistry,Medium
State clearly: What is the genotypic ratio of a monohybrid cross in F2 generation?,Biology,Genetics,Easy
A cylinder of mass M and radius R rolls without slipping down an inclined plane of angle theta. Determine the acceleration of its center of mass using torque analysis.,Physics,Mechanics,Hard
State Henry's Law of gas solubility.,Chemistry,Physical Chemistry,Easy
Solve the following question: Why are transition elements colored and show paramagnetic behavior?,Chemistry,Inorganic Chemistry,Medium
Solve the following question: Find the moment of inertia of a uniform circular disc of mass M and radius R about an axis tangent to its plane.,Physics,Mechanics,Medium
"Critically evaluate and solve: Explain the molecular orbital energy level diagram for N2 and O2, detailing the bond order, magnetic properties, and the effect of ionization to N2+ and O2+.",Chemistry,Inorganic Chemistry,Hard
Can you explain: A car travels 100 meters in 5 seconds. Calculate its average speed.,Physics,Mechanics,Easy
What is ecological succession? Differentiate between primary and secondary succession.,Biology,Ecology,Medium
State clearly: Write the mathematical expression for the rate law of a zero-order reaction.,Chemistry,Physical Chemistry,Easy
Solve the following question: Explain Aldol condensation with a chemical equation.,Chemistry,Organic Chemistry,Medium
"Critically evaluate and solve: For the reaction A + B <=> C + D, the equilibrium constant is K_c = 100 at 300 K. If initial concentrations are 1M each, calculate equilibrium concentrations and the standard Gibbs free energy change.",Chemistry,Physical Chemistry,Hard
"Advanced problem: What is DNA fingerprinting? Detail the steps involved, including isolation, digestion, electrophoresis, blotting, hybridization, and autoradiography. Show detailed steps.",Biology,Genetics,Hard
Solve the following question: Predict the major product when propene reacts with HBr in the presence of peroxides.,Chemistry,Organic Chemistry,Medium
Advanced problem: Derive the Nernst equation for a cell and calculate the EMF of the cell: Zn | Zn2+(0.01M) || Cu2+(0.1M) | Cu at 298 K if the standard reduction potentials are -0.76 V and +0.34 V. Show detailed steps.,Chemistry,Physical Chemistry,Hard
Explain the sliding filament theory of muscle contraction.,Biology,Human Physiology,Medium
For JEE/NEET preparation: A bullet of mass 10g is fired with speed 400 m/s into a block of 2kg hanging from a string. Find the maximum height reached by the block.,Physics,Mechanics,Medium
State the principle of conservation of linear momentum.,Physics,Mechanics,Easy
Advanced problem: Show that the line lx + my + n = 0 touches the ellipse x^2/a^2 + y^2/b^2 = 1 if a^2*l^2 + b^2*m^2 = n^2. Show detailed steps.,Mathematics,Coordinate Geometry,Hard
State clearly: Draw the magnetic field lines around a straight current-carrying wire.,Physics,Electrodynamics,Easy
State clearly: What is the capacitance of a parallel plate capacitor in vacuum?,Physics,Electrodynamics,Easy
"An insulated container is divided into two compartments of volume V1 and V2 containing ideal gases at pressures P1, P2 and temperatures T1, T2. If the partition is removed, find the final temperature and pressure.",Physics,Thermodynamics,Hard
For JEE/NEET preparation: What is the product formed when phenol is treated with chloroform and aqueous NaOH (Reimer-Tiemann reaction)?,Chemistry,Organic Chemistry,Medium
Advanced problem: A spaceship is orbiting earth at distance 2R. An astronaut ejects a capsule with relative velocity v_0. Find the condition for the capsule to escape earth's gravity. Show detailed steps.,Physics,Mechanics,Hard
"Critically evaluate and solve: A compound A (C5H10O) gives a positive iodoform test and forms a crystalline derivative with 2,4-DNP. On reduction with LiAlH4 it gives B which on dehydration gives C. Identify A, B, and C.",Chemistry,Organic Chemistry,Hard
"Critically evaluate and solve: Find the locus of the middle points of chords of the circle x^2 + y^2 = a^2 which pass through a fixed point (x1, y1).",Mathematics,Coordinate Geometry,Hard
Write the chemical formula of Werner's coordination complexes and calculate the primary and secondary valencies of Co in [Co(NH3)5Cl]Cl2.,Chemistry,Inorganic Chemistry,Medium
Describe the structure of a double-helix DNA molecule as proposed by Watson and Crick.,Biology,Genetics,Medium
Solve the following question: Explain the 10% law of energy transfer in a food chain with a diagram.,Biology,Ecology,Medium
"Critically evaluate and solve: Detail the molecular mechanism of the lac operon model in Escherichia coli. Explain the role of the regulator, promoter, operator, and structural genes under lactose-absent and lactose-present conditions.",Biology,Genetics,Hard
"Advanced problem: Find the locus of the middle points of chords of the circle x^2 + y^2 = a^2 which pass through a fixed point (x1, y1). Show detailed steps.",Mathematics,Coordinate Geometry,Hard
Solve the following question: Derive the relationship between solubility product (Ksp) and solubility (S) for Ag2CrO4.,Chemistry,Physical Chemistry,Medium
"Discuss the mechanism of DNA replication in eukaryotes, explaining the role of DNA polymerase, helicase, primase, ligase, and the synthesis of leading and lagging strands (Okazaki fragments).",Biology,Genetics,Hard
Define biodiversity.,Biology,Ecology,Easy
What is the product formed when phenol is treated with chloroform and aqueous NaOH (Reimer-Tiemann reaction)?,Chemistry,Organic Chemistry,Medium
For JEE/NEET preparation: What is ecological succession? Differentiate between primary and secondary succession.,Biology,Ecology,Medium
"Advanced problem: Discuss the diagonal relationship between Lithium and Magnesium, explaining the anomalies in their carbonates, nitrides, and fluorides. Show detailed steps.",Chemistry,Inorganic Chemistry,Hard
Solve the following question: Explain the mechanism of SN1 and SN2 reactions with suitable examples.,Chemistry,Organic Chemistry,Medium
Advanced problem: Calculate the gravitational potential energy of a non-uniform sphere of mass M and radius R where density varies as rho(r) = rho_0 * (1 - r/R). Show detailed steps.,Physics,Mechanics,Hard
State clearly: State Coulomb's Law of electrostatics.,Physics,Electrodynamics,Easy
"Can you explain: Find the 10th term of the Arithmetic Progression (AP): 2, 5, 8, 11...",Mathematics,Algebra,Easy
"Advanced problem: Explain the molecular orbital energy level diagram for N2 and O2, detailing the bond order, magnetic properties, and the effect of ionization to N2+ and O2+. Show detailed steps.",Chemistry,Inorganic Chemistry,Hard
State clearly: Define electronegativity and state its trend across a period.,Chemistry,Inorganic Chemistry,Easy
Can you explain: Name the largest gland in the human body.,Biology,Human Physiology,Easy
"If alpha and beta are the roots of x^2 - p(x + 1) - c = 0, find the value of (alpha + 1)(beta + 1).",Mathematics,Algebra,Medium
For JEE/NEET preparation: Explain the concept of biomagnification with reference to DDT in an aquatic food chain.,Biology,Ecology,Medium
State clearly: Which hormone regulates blood sugar levels?,Biology,Human Physiology,Easy
Can you explain: What is transcription?,Biology,Genetics,Easy
Can you explain: Define Newton's first law of motion.,Physics,Mechanics,Easy
"Critically evaluate and solve: Discuss the mechanism of DNA replication in eukaryotes, explaining the role of DNA polymerase, helicase, primase, ligase, and the synthesis of leading and lagging strands (Okazaki fragments).",Biology,Genetics,Hard
State clearly: What is the functional unit of the human kidney?,Biology,Human Physiology,Easy
"Solve the following question: Solve the system of equations using Cramer's Rule: 2x - y = 4, 3x + 2y = 13.",Mathematics,Algebra,Medium
State clearly: What is the slope of the line 3x - 4y + 10 = 0?,Mathematics,Coordinate Geometry,Easy
Can you explain: Define isomerism with an example.,Chemistry,Organic Chemistry,Easy
For JEE/NEET preparation: Solve the differential equation: dy/dx = (1 + y^2) / (1 + x^2).,Mathematics,Calculus,Medium
An electromagnetic wave is propagating along the z-axis. The electric field is E = E_0 sin(kz - wt) i. Write the expression for the magnetic field and find the average Poynting vector.,Physics,Electrodynamics,Hard
Can you explain: What is the derivative of x^2 + 5x + 2 with respect to x?,Mathematics,Calculus,Easy
Solve the following question: Evaluate the integral of x * ln(x) dx using integration by parts.,Mathematics,Calculus,Medium
"Describe the structure and functioning of a nephron in urine formation, detailing filtration, reabsorption, and secretion.",Biology,Human Physiology,Medium
"Critically evaluate and solve: Find the sum of the series: sum_{r=1}^{n} r^2 * C(n, r) where C(n, r) is the binomial coefficient.",Mathematics,Algebra,Hard
"Solve the following question: Calculate the self-inductance of a solenoid of length 1 m, cross-sectional area 10 cm^2, and 1000 turns.",Physics,Electrodynamics,Medium
Can you explain: Evaluate the limit: lim_{x -> 0} sin(x) / x.,Mathematics,Calculus,Easy
Show that the line lx + my + n = 0 touches the ellipse x^2/a^2 + y^2/b^2 = 1 if a^2*l^2 + b^2*m^2 = n^2.,Mathematics,Coordinate Geometry,Hard
For JEE/NEET preparation: Discuss the structure and bonding in diborane (B2H6) showing three-center two-electron bonds.,Chemistry,Inorganic Chemistry,Medium
"Prove that the cube roots of unity form an abelian group under multiplication, and find all subgroups.",Mathematics,Algebra,Hard
State clearly: State Henry's Law of gas solubility.,Chemistry,Physical Chemistry,Easy
Determine the value of the determinant of a matrix of order 3 where elements are given by a_ij = i^2 - j^2.,Mathematics,Algebra,Hard
For JEE/NEET preparation: Describe the structure of a double-helix DNA molecule as proposed by Watson and Crick.,Biology,Genetics,Medium
State clearly: State the relation between linear velocity and angular velocity.,Physics,Mechanics,Easy
A car travels 100 meters in 5 seconds. Calculate its average speed.,Physics,Mechanics,Easy
For JEE/NEET preparation: Find the maximum and minimum values of the function f(x) = 2x^3 - 9x^2 + 12x + 5.,Mathematics,Calculus,Medium
"Explain the mechanism of Robinson annulation including the Michael addition and subsequent Aldol condensation, illustrating all resonance-stabilized intermediates.",Chemistry,Organic Chemistry,Hard
State clearly: Name the pigment responsible for the red color of blood.,Biology,Human Physiology,Easy
What is the derivative of x^2 + 5x + 2 with respect to x?,Mathematics,Calculus,Easy
"Write the equation of a circle with center (0,0) and radius 5.",Mathematics,Coordinate Geometry,Easy
For JEE/NEET preparation: What is codominance? Explain with the example of ABO blood grouping in humans.,Biology,Genetics,Medium
"Critically evaluate and solve: In an LCR series circuit connected to an AC source V = V_0 sin(wt), find the resonance frequency, power factor, and quality factor Q when R = 10 ohms, L = 2 H, and C = 5 uF.",Physics,Electrodynamics,Hard
For JEE/NEET preparation: Describe the double circulation of blood in the human heart with a schematic diagram.,Biology,Human Physiology,Medium
State clearly: What is a food chain? Give a simple example.,Biology,Ecology,Easy
For JEE/NEET preparation: A block of mass 5 kg is sliding down an inclined plane of angle 30 degrees. Find the acceleration of the block if the coefficient of friction is 0.2.,Physics,Mechanics,Medium
"For JEE/NEET preparation: Calculate the equivalent capacitance of three capacitors of 2 uF, 3 uF, and 6 uF connected in series.",Physics,Electrodynamics,Medium
State clearly: Find the integral of sin(x) dx.,Mathematics,Calculus,Easy
State clearly: Evaluate the limit: lim_{x -> 0} sin(x) / x.,Mathematics,Calculus,Easy
Derive the relationship between solubility product (Ksp) and solubility (S) for Ag2CrO4.,Chemistry,Physical Chemistry,Medium
What is an ideal solution? Give an example.,Chemistry,Physical Chemistry,Easy
"Advanced problem: Derive the expression for the magnetic field at any point on the axis of a Helmholtz coil carrying current I, and show that the field is uniform near the center. Show detailed steps.",Physics,Electrodynamics,Hard
"Explain the conduction of nerve impulses along an axon through polarization, depolarization, and repolarization.",Biology,Human Physiology,Medium
"Advanced problem: Solve the differential equation: x^2 * dy/dx = y^2 + 2xy, given that y(1) = 1. Show detailed steps.",Mathematics,Calculus,Hard
Predict the major product when propene reacts with HBr in the presence of peroxides.,Chemistry,Organic Chemistry,Medium
Advanced problem: Derive Maxwell's relations from thermodynamic potentials and find the expression for internal energy change dU in terms of dT and dV for a Van der Waals gas. Show detailed steps.,Physics,Thermodynamics,Hard
Solve the following question: Calculate the change in entropy when 1 mole of ice melts at 0 degrees Celsius. (Heat of fusion of ice is 6.0 kJ/mol).,Chemistry,Physical Chemistry,Medium
"Solve the differential equation: x^2 * dy/dx = y^2 + 2xy, given that y(1) = 1.",Mathematics,Calculus,Hard
Differentiate between in-situ and ex-situ conservation of biodiversity with examples.,Biology,Ecology,Medium
"For JEE/NEET preparation: Find the equation of the line passing through (2, 3) and perpendicular to the line x - 2y + 5 = 0.",Mathematics,Coordinate Geometry,Medium
"Detail the hormonal feedback regulation of the thyroid gland, explaining the role of TRH, TSH, T3, and T4, and discuss the pathophysiology of Graves' disease and Myxedema.",Biology,Human Physiology,Hard
Solve the following question: An electric dipole of dipole moment p is placed in a uniform electric field E. Find the torque acting on it.,Physics,Electrodynamics,Medium
Explain the chromosomal theory of inheritance.,Biology,Genetics,Medium
Find the term independent of x in the expansion of (2x + 1/(3x^2))^9.,Mathematics,Algebra,Medium
Solve the following question: Describe the structure of a double-helix DNA molecule as proposed by Watson and Crick.,Biology,Genetics,Medium
For JEE/NEET preparation: Convert benzene to nitrobenzene and then to aniline. Write the reagents required.,Chemistry,Organic Chemistry,Medium
"Discuss the role of tRNA, mRNA, and rRNA in translation.",Biology,Genetics,Medium
For JEE/NEET preparation: Find the moment of inertia of a uniform circular disc of mass M and radius R about an axis tangent to its plane.,Physics,Mechanics,Medium
What is the value of log_2(32)?,Mathematics,Algebra,Easy
State Ohm's Law and define resistance.,Physics,Electrodynamics,Easy
Can you explain: What is the relation between Cp and Cv for an ideal gas?,Physics,Thermodynamics,Easy
"Advanced problem: Explain the global warming greenhouse effect, detailing the contribution of different greenhouse gases (CO2, CH4, N2O, CFCs) and the international protocols (Kyoto, Paris Agreement) to mitigate them. Show detailed steps.",Biology,Ecology,Hard
Solve the following question: Find the maximum and minimum values of the function f(x) = 2x^3 - 9x^2 + 12x + 5.,Mathematics,Calculus,Medium
Draw the magnetic field lines around a straight current-carrying wire.,Physics,Electrodynamics,Easy
"Critically evaluate and solve: Derive the expression for the magnetic field at any point on the axis of a Helmholtz coil carrying current I, and show that the field is uniform near the center.",Physics,Electrodynamics,Hard
State clearly: What is the electric potential due to a point charge q at distance r?,Physics,Electrodynamics,Easy
"Advanced problem: Explain the band theory of metals, semiconductors, and insulators, detailing the role of doping (n-type and p-type) with appropriate examples from Group 13 and 15 elements. Show detailed steps.",Chemistry,Inorganic Chemistry,Hard
"For JEE/NEET preparation: Calculate the self-inductance of a solenoid of length 1 m, cross-sectional area 10 cm^2, and 1000 turns.",Physics,Electrodynamics,Medium
Convert benzene to nitrobenzene and then to aniline. Write the reagents required.,Chemistry,Organic Chemistry,Medium
Name the reagent used for testing unsaturation in alkenes.,Chemistry,Organic Chemistry,Easy
Derive Maxwell's relations from thermodynamic potentials and find the expression for internal energy change dU in terms of dT and dV for a Van der Waals gas.,Physics,Thermodynamics,Hard
State clearly: Name the largest gland in the human body.,Biology,Human Physiology,Easy
Identify the functional group present in carboxylic acids.,Chemistry,Organic Chemistry,Easy
"Critically evaluate and solve: Discuss the diagonal relationship between Lithium and Magnesium, explaining the anomalies in their carbonates, nitrides, and fluorides.",Chemistry,Inorganic Chemistry,Hard
State clearly: Identify the functional group present in carboxylic acids.,Chemistry,Organic Chemistry,Easy
State clearly: What is the SI unit of force?,Physics,Mechanics,Easy
What is the dimensional formula for coefficient of viscosity?,Physics,Mechanics,Easy
For JEE/NEET preparation: Predict the major product when propene reacts with HBr in the presence of peroxides.,Chemistry,Organic Chemistry,Medium
Critically evaluate and solve: Evaluate the definite integral: integral_{0}^{pi} x * sin(x) / (1 + cos^2(x)) dx.,Mathematics,Calculus,Hard
"Solve the following question: Calculate the equivalent capacitance of three capacitors of 2 uF, 3 uF, and 6 uF connected in series.",Physics,Electrodynamics,Medium
State clearly: Who is known as the Father of Genetics?,Biology,Genetics,Easy
"Can you explain: Write the equation of a circle with center (0,0) and radius 5.",Mathematics,Coordinate Geometry,Easy
Discuss the structure and bonding in diborane (B2H6) showing three-center two-electron bonds.,Chemistry,Inorganic Chemistry,Medium
Can you explain: Define biodiversity.,Biology,Ecology,Easy
For JEE/NEET preparation: Find the angle between the lines y - sqrt(3)x - 5 = 0 and sqrt(3)y - x + 6 = 0.,Mathematics,Coordinate Geometry,Medium
"Discuss the population growth models, deriving the equations for exponential growth and logistic growth (Verhulst-Pearl logistic growth). Explain the concept of carrying capacity (K).",Biology,Ecology,Hard
What is the capacitance of a parallel plate capacitor in vacuum?,Physics,Electrodynamics,Easy
State Mendeleev's periodic law.,Chemistry,Inorganic Chemistry,Easy
"Critically evaluate and solve: An insulated container is divided into two compartments of volume V1 and V2 containing ideal gases at pressures P1, P2 and temperatures T1, T2. If the partition is removed, find the final temperature and pressure.",Physics,Thermodynamics,Hard
What is the hybridization of carbon in methane?,Chemistry,Organic Chemistry,Easy
What is the electronic configuration of copper (Z = 29)?,Chemistry,Inorganic Chemistry,Easy
"Advanced problem: Detail the molecular mechanism of the lac operon model in Escherichia coli. Explain the role of the regulator, promoter, operator, and structural genes under lactose-absent and lactose-present conditions. Show detailed steps.",Biology,Genetics,Hard
Advanced problem: Discuss the stereochemical outcome and mechanism of the hydroboration-oxidation of 1-methylcyclohexene. Why is it stereospecifically syn-addition? Show detailed steps.,Chemistry,Organic Chemistry,Hard
Solve the following question: Find the derivative of y = x^x with respect to x.,Mathematics,Calculus,Medium
Advanced problem: Explain the kinetics of enzyme-catalyzed reactions (Michaelis-Menten kinetics) and derive the expression for the Michaelis constant (Km) and maximum rate (Vmax). Show detailed steps.,Chemistry,Physical Chemistry,Hard
Can you explain: What is the shape of a water molecule according to VSEPR theory?,Chemistry,Inorganic Chemistry,Easy
"Critically evaluate and solve: If the roots of the equation x^3 - px^2 + qx - r = 0 are in Harmonic Progression, show that the middle root is 3r/q and find the relation between p, q, and r.",Mathematics,Algebra,Hard
Can you explain: What is the hybridization of carbon in methane?,Chemistry,Organic Chemistry,Easy
What is acid rain?,Biology,Ecology,Easy
Solve the following question: Calculate the osmotic pressure of a 5% urea solution at 273 Kelvin (R = 0.0821 L atm/mol K).,Chemistry,Physical Chemistry,Medium
"Explain the molecular orbital energy level diagram for N2 and O2, detailing the bond order, magnetic properties, and the effect of ionization to N2+ and O2+.",Chemistry,Inorganic Chemistry,Hard
State clearly: What is the main source of energy in an ecosystem?,Biology,Ecology,Easy
