Question_Text,Subject,Topic,Difficulty
"Explain the global warming greenhouse effect, detailing the contribution of different greenhouse gases (CO2, CH4, N2O, CFCs) and the international protocols (Kyoto, Paris Agreement) to mitigate them.",Biology,Ecology,Hard
Solve the following question: Determine the number of permutations of the letters in the word 'MATHEMATICS'.,Mathematics,Algebra,Medium
State clearly: What is the normal blood pressure of a healthy human?,Biology,Human Physiology,Easy
For JEE/NEET preparation: Describe the carbon cycle and the human activities that affect it.,Biology,Ecology,Medium
Can you explain: State Coulomb's Law of electrostatics.,Physics,Electrodynamics,Easy
State clearly: Define Newton's first law of motion.,Physics,Mechanics,Easy
Solve the following question: Solve the differential equation: dy/dx = (1 + y^2) / (1 + x^2).,Mathematics,Calculus,Medium
"Advanced problem: One mole of a monoatomic ideal gas undergoes a cycle consisting of: (1) isothermal expansion, (2) isobaric compression, and (3) isochoric process. Compute the total work done and the thermodynamic efficiency of the cycle. Show detailed steps.",Physics,Thermodynamics,Hard
What is the derivative of e^{3x}?,Mathematics,Calculus,Easy
For JEE/NEET preparation: Calculate the osmotic pressure of a 5% urea solution at 273 Kelvin (R = 0.0821 L atm/mol K).,Chemistry,Physical Chemistry,Medium
What is the slope of the line 3x - 4y + 10 = 0?,Mathematics,Coordinate Geometry,Easy
Why are transition elements colored and show paramagnetic behavior?,Chemistry,Inorganic Chemistry,Medium
For JEE/NEET preparation: Why are transition elements colored and show paramagnetic behavior?,Chemistry,Inorganic Chemistry,Medium
For JEE/NEET preparation: A particle of mass m is projected with velocity v at an angle theta with the horizontal. Calculate its range.,Physics,Mechanics,Medium
Advanced problem: Determine the interval of convergence and the sum of the power series sum_{n=1}^{infinity} n * x^n. Show detailed steps.,Mathematics,Calculus,Hard
"Critically evaluate and solve: Explain the global warming greenhouse effect, detailing the contribution of different greenhouse gases (CO2, CH4, N2O, CFCs) and the international protocols (Kyoto, Paris Agreement) to mitigate them.",Biology,Ecology,Hard
"Find the distance between the points (3, 4) and (7, 7).",Mathematics,Coordinate Geometry,Easy
Name the largest gland in the human body.,Biology,Human Physiology,Easy
Can you explain: What is acid rain?,Biology,Ecology,Easy
A wire of resistance R is stretched to double its length. What is its new resistance?,Physics,Electrodynamics,Medium
Advanced problem: An open trolley of mass 100 kg is moving with constant speed 10 m/s. Sand starts falling into it at a rate of 5 kg/s. Calculate the force needed to maintain constant speed. Show detailed steps.,Physics,Mechanics,Hard
A block of mass 5 kg is sliding down an inclined plane of angle 30 degrees. Find the acceleration of the block if the coefficient of friction is 0.2.,Physics,Mechanics,Medium
Critically evaluate and solve: A cylinder of mass M and radius R rolls without slipping down an inclined plane of angle theta. Determine the acceleration of its center of mass using torque analysis.,Physics,Mechanics,Hard
"For the reaction A + B <=> C + D, the equilibrium constant is K_c = 100 at 300 K. If initial concentrations are 1M each, calculate equilibrium concentrations and the standard Gibbs free energy change.",Chemistry,Physical Chemistry,Hard
"Advanced problem: Calculate the packing efficiency of a body-centered cubic (BCC) and face-centered cubic (FCC) lattice, proving the mathematical relation between edge length 'a' and atomic radius 'r'. Show detailed steps.",Chemistry,Physical Chemistry,Hard
Can you explain: State Ohm's Law and define resistance.,Physics,Electrodynamics,Easy
What is transcription?,Biology,Genetics,Easy
State clearly: Define biodiversity.,Biology,Ecology,Easy
Explain the extraction of iron from blast furnace with chemical equations.,Chemistry,Inorganic Chemistry,Medium
Critically evaluate and solve: Evaluate the limit: lim_{n -> infinity} sum_{r=1}^{n} 1 / n * sin(r * pi / n) as a definite Riemann sum.,Mathematics,Calculus,Hard
Define molarity and write its unit.,Chemistry,Physical Chemistry,Easy
Advanced problem: Evaluate the limit: lim_{n -> infinity} sum_{r=1}^{n} 1 / n * sin(r * pi / n) as a definite Riemann sum. Show detailed steps.,Mathematics,Calculus,Hard
"Advanced problem: An insulated container is divided into two compartments of volume V1 and V2 containing ideal gases at pressures P1, P2 and temperatures T1, T2. If the partition is removed, find the final temperature and pressure. Show detailed steps.",Physics,Thermodynamics,Hard
State clearly: Find the value of integral_{0}^{pi/2} cos(x) dx.,Mathematics,Calculus,Easy
Solve the following question: Explain the mechanism of breathing (inspiration and expiration) in humans.,Biology,Human Physiology,Medium
"One mole of a monoatomic ideal gas undergoes a cycle consisting of: (1) isothermal expansion, (2) isobaric compression, and (3) isochoric process. Compute the total work done and the thermodynamic efficiency of the cycle.",Physics,Thermodynamics,Hard
"Critically evaluate and solve: Detail the hormonal feedback regulation of the thyroid gland, explaining the role of TRH, TSH, T3, and T4, and discuss the pathophysiology of Graves' disease and Myxedema.",Biology,Human Physiology,Hard
Solve the following question: Explain the concept of biomagnification with reference to DDT in an aquatic food chain.,Biology,Ecology,Medium
Can you explain: Draw the magnetic field lines around a straight current-carrying wire.,Physics,Electrodynamics,Easy
The rate constant of a first-order reaction is 0.005 min^-1. Calculate the half-life of this reaction.,Chemistry,Physical Chemistry,Medium
For JEE/NEET preparation: Determine the number of permutations of the letters in the word 'MATHEMATICS'.,Mathematics,Algebra,Medium
Solve the following question: Write the chemical formula of Werner's coordination complexes and calculate the primary and secondary valencies of Co in [Co(NH3)5Cl]Cl2.,Chemistry,Inorganic Chemistry,Medium
Explain the kinetics of enzyme-catalyzed reactions (Michaelis-Menten kinetics) and derive the expression for the Michaelis constant (Km) and maximum rate (Vmax).,Chemistry,Physical Chemistry,Hard
"Advanced problem: If the roots of the equation x^3 - px^2 + qx - r = 0 are in Harmonic Progression, show that the middle root is 3r/q and find the relation between p, q, and r. Show detailed steps.",Mathematics,Algebra,Hard
Can you explain: Who is known as the Father of Genetics?,Biology,Genetics,Easy
State clearly: Define genotype and phenotype.,Biology,Genetics,Easy
"Solve the following question: Find the equation of the tangent to the parabola y^2 = 8x at the point (2, 4).",Mathematics,Coordinate Geometry,Medium
For JEE/NEET preparation: Find the derivative of y = x^x with respect to x.,Mathematics,Calculus,Medium
Define latent heat of vaporization.,Physics,Thermodynamics,Easy
A body of mass 2 kg collides elastically with another body of mass 4 kg at rest. Find the fraction of kinetic energy lost by the first body.,Physics,Mechanics,Medium
State clearly: What is the IUPAC name of CH3-CH2-OH?,Chemistry,Organic Chemistry,Easy
Solve the following question: Explain the extraction of iron from blast furnace with chemical equations.,Chemistry,Inorganic Chemistry,Medium
For JEE/NEET preparation: Explain Aldol condensation with a chemical equation.,Chemistry,Organic Chemistry,Medium
Describe the double circulation of blood in the human heart with a schematic diagram.,Biology,Human Physiology,Medium
A Carnot engine operates between temperatures 300 K and 600 K. Find its efficiency.,Physics,Thermodynamics,Medium
Solve the following question: Calculate the work done in stretching a spring of spring constant k = 200 N/m by a distance of 10 cm.,Physics,Mechanics,Medium
Name the nitrogenous bases present in DNA.,Biology,Genetics,Easy
"Critically evaluate and solve: Outline the total synthesis of aspirin starting from benzene, specifying all intermediate steps, reagents, and mechanisms.",Chemistry,Organic Chemistry,Hard
"State clearly: Find the distance between the points (3, 4) and (7, 7).",Mathematics,Coordinate Geometry,Easy
What is the functional unit of the human kidney?,Biology,Human Physiology,Easy
Determine the area bounded by the curve y = x^2 and the line y = 4.,Mathematics,Calculus,Medium
Can you explain: What is the slope of the line 3x - 4y + 10 = 0?,Mathematics,Coordinate Geometry,Easy
"Advanced problem: Discuss the counter-current mechanism in the loop of Henle and vasa recta for the concentration of urine, detailing the roles of NaCl and urea gradients. Show detailed steps.",Biology,Human Physiology,Hard
Define isomerism with an example.,Chemistry,Organic Chemistry,Easy
State clearly: What is acid rain?,Biology,Ecology,Easy
For JEE/NEET preparation: The rate constant of a first-order reaction is 0.005 min^-1. Calculate the half-life of this reaction.,Chemistry,Physical Chemistry,Medium
"Advanced problem: Discuss the mechanism of DNA replication in eukaryotes, explaining the role of DNA polymerase, helicase, primase, ligase, and the synthesis of leading and lagging strands (Okazaki fragments). Show detailed steps.",Biology,Genetics,Hard
"Explain the digestion and absorption of fats in the human gastrointestinal tract, detailing the role of bile salts, micelle formation, pancreatic lipase, and chylomicron transport in lacteals.",Biology,Human Physiology,Hard
Solve the following question: What is ecological succession? Differentiate between primary and secondary succession.,Biology,Ecology,Medium
Find the value of integral_{0}^{pi/2} cos(x) dx.,Mathematics,Calculus,Easy
"Calculate the self-inductance of a solenoid of length 1 m, cross-sectional area 10 cm^2, and 1000 turns.",Physics,Electrodynamics,Medium
"Critically evaluate and solve: Explain the genetic basis of sex-linked disorders like Hemophilia and Color Blindness, detailing the inheritance patterns in pedigree analysis with cross diagrams.",Biology,Genetics,Hard
"State clearly: Find the 10th term of the Arithmetic Progression (AP): 2, 5, 8, 11...",Mathematics,Algebra,Easy
Find the moment of inertia of a uniform circular disc of mass M and radius R about an axis tangent to its plane.,Physics,Mechanics,Medium
Solve the following question: Find the term independent of x in the expansion of (2x + 1/(3x^2))^9.,Mathematics,Algebra,Medium
"Can you explain: Find the distance between the points (3, 4) and (7, 7).",Mathematics,Coordinate Geometry,Easy
Name the pigment responsible for the red color of blood.,Biology,Human Physiology,Easy
Can you explain: What is the IUPAC name of CH3-CH2-OH?,Chemistry,Organic Chemistry,Easy
"Critically evaluate and solve: Prove that the cube roots of unity form an abelian group under multiplication, and find all subgroups.",Mathematics,Algebra,Hard
State clearly: What is the relation between Cp and Cv for an ideal gas?,Physics,Thermodynamics,Easy
Can you explain: State Mendeleev's periodic law.,Chemistry,Inorganic Chemistry,Easy
What is the shape of a water molecule according to VSEPR theory?,Chemistry,Inorganic Chemistry,Easy
For JEE/NEET preparation: Determine the magnetic field at the center of a circular loop of radius R carrying a current I.,Physics,Electrodynamics,Medium
Define electronegativity and state its trend across a period.,Chemistry,Inorganic Chemistry,Easy
"Solve the following question: Find the sum to infinity of the geometric progression: 1, 1/3, 1/9, 1/27...",Mathematics,Algebra,Medium
Can you explain: Write the mathematical expression for the rate law of a zero-order reaction.,Chemistry,Physical Chemistry,Easy
"Advanced problem: Detail the phosphorus cycle in nature and compare it with the nitrogen cycle, explaining the main reservoirs, pathways, and the biological significance of nutrient cycling. Show detailed steps.",Biology,Ecology,Hard
"Critically evaluate and solve: Analyze the competitive exclusion principle proposed by Gause, and explain resource partitioning as a mechanism for co-existence in ecological niches with real examples.",Biology,Ecology,Hard
A spaceship is orbiting earth at distance 2R. An astronaut ejects a capsule with relative velocity v_0. Find the condition for the capsule to escape earth's gravity.,Physics,Mechanics,Hard
"For JEE/NEET preparation: Describe the structure and functioning of a nephron in urine formation, detailing filtration, reabsorption, and secretion.",Biology,Human Physiology,Medium
For JEE/NEET preparation: Explain the 10% law of energy transfer in a food chain with a diagram.,Biology,Ecology,Medium
Can you explain: Name the reagent used for testing unsaturation in alkenes.,Chemistry,Organic Chemistry,Easy
State clearly: Name the nitrogenous bases present in DNA.,Biology,Genetics,Easy
For JEE/NEET preparation: An ideal gas undergoes an isothermal expansion from volume V to 3V. Calculate the work done by the gas.,Physics,Thermodynamics,Medium
"Advanced problem: Find the sum of the series: sum_{r=1}^{n} r^2 * C(n, r) where C(n, r) is the binomial coefficient. Show detailed steps.",Mathematics,Algebra,Hard
State clearly: State the principle of conservation of linear momentum.,Physics,Mechanics,Easy
For JEE/NEET preparation: A body of mass 2 kg collides elastically with another body of mass 4 kg at rest. Find the fraction of kinetic energy lost by the first body.,Physics,Mechanics,Medium
"Find the equation of the line passing through (2, 3) and perpendicular to the line x - 2y + 5 = 0.",Mathematics,Coordinate Geometry,Medium
Advanced problem: An electromagnetic wave is propagating along the z-axis. The electric field is E = E_0 sin(kz - wt) i. Write the expression for the magnetic field and find the average Poynting vector. Show detailed steps.,Physics,Electrodynamics,Hard
"Critically evaluate and solve: Solve the differential equation: x^2 * dy/dx = y^2 + 2xy, given that y(1) = 1.",Mathematics,Calculus,Hard
State clearly: Why are noble gases inert?,Chemistry,Inorganic Chemistry,Easy
Can you explain: State the binomial theorem for a positive integer n.,Mathematics,Algebra,Easy
"Solve the system of equations using Cramer's Rule: 2x - y = 4, 3x + 2y = 13.",Mathematics,Algebra,Medium
"Critically evaluate and solve: What is DNA fingerprinting? Detail the steps involved, including isolation, digestion, electrophoresis, blotting, hybridization, and autoradiography.",Biology,Genetics,Hard
Explain the mechanism of SN1 and SN2 reactions with suitable examples.,Chemistry,Organic Chemistry,Medium
Solve the differential equation: dy/dx = (1 + y^2) / (1 + x^2).,Mathematics,Calculus,Medium
Solve the following question: A bullet of mass 10g is fired with speed 400 m/s into a block of 2kg hanging from a string. Find the maximum height reached by the block.,Physics,Mechanics,Medium
Solve the following question: Explain the hybridisation and geometry of XeF4 and SF6.,Chemistry,Inorganic Chemistry,Medium
Define electric flux and write its SI unit.,Physics,Electrodynamics,Easy
Can you explain: Find the value of integral_{0}^{pi/2} cos(x) dx.,Mathematics,Calculus,Easy
Solve the following question: The rate constant of a first-order reaction is 0.005 min^-1. Calculate the half-life of this reaction.,Chemistry,Physical Chemistry,Medium
Critically evaluate and solve: Prove that the locus of the point of intersection of perpendicular tangents to the hyperbola x^2/a^2 - y^2/b^2 = 1 is the director circle x^2 + y^2 = a^2 - b^2.,Mathematics,Coordinate Geometry,Hard
Can you explain: State the principle of conservation of linear momentum.,Physics,Mechanics,Easy
For JEE/NEET preparation: Explain the chromosomal theory of inheritance.,Biology,Genetics,Medium
What is the IUPAC name of CH3-CH2-OH?,Chemistry,Organic Chemistry,Easy
"Find the 10th term of the Arithmetic Progression (AP): 2, 5, 8, 11...",Mathematics,Algebra,Easy
"Advanced problem: A compound A (C5H10O) gives a positive iodoform test and forms a crystalline derivative with 2,4-DNP. On reduction with LiAlH4 it gives B which on dehydration gives C. Identify A, B, and C. Show detailed steps.",Chemistry,Organic Chemistry,Hard
Can you explain: What is the main source of energy in an ecosystem?,Biology,Ecology,Easy
Why are noble gases inert?,Chemistry,Inorganic Chemistry,Easy
Critically evaluate and solve: Calculate the gravitational potential energy of a non-uniform sphere of mass M and radius R where density varies as rho(r) = rho_0 * (1 - r/R).,Physics,Mechanics,Hard
For JEE/NEET preparation: Explain the hybridisation and geometry of XeF4 and SF6.,Chemistry,Inorganic Chemistry,Medium
"Solve the following question: Explain the conduction of nerve impulses along an axon through polarization, depolarization, and repolarization.",Biology,Human Physiology,Medium
"Advanced problem: Discuss the cardiac cycle in detail, explaining the pressure and volume changes in the atria and ventricles during systole and diastole, and correlate these with ECG waves (P, QRS, T). Show detailed steps.",Biology,Human Physiology,Hard
"Critically evaluate and solve: Explain the mechanism of Robinson annulation including the Michael addition and subsequent Aldol condensation, illustrating all resonance-stabilized intermediates.",Chemistry,Organic Chemistry,Hard
What is the genotypic ratio of a monohybrid cross in F2 generation?,Biology,Genetics,Easy
State clearly: Define latent heat of vaporization.,Physics,Thermodynamics,Easy
Solve the following question: A wire of resistance R is stretched to double its length. What is its new resistance?,Physics,Electrodynamics,Medium
Which hormone regulates blood sugar levels?,Biology,Human Physiology,Easy
"A compound A (C5H10O) gives a positive iodoform test and forms a crystalline derivative with 2,4-DNP. On reduction with LiAlH4 it gives B which on dehydration gives C. Identify A, B, and C.",Chemistry,Organic Chemistry,Hard
Solve the following question: Describe the double circulation of blood in the human heart with a schematic diagram.,Biology,Human Physiology,Medium
"Find the midpoint of the line segment joining (2, 8) and (6, 2).",Mathematics,Coordinate Geometry,Easy
Determine the magnetic field at the center of a circular loop of radius R carrying a current I.,Physics,Electrodynamics,Medium
Solve the following question: Explain the chromosomal theory of inheritance.,Biology,Genetics,Medium
Can you explain: Define genotype and phenotype.,Biology,Genetics,Easy
Define Newton's first law of motion.,Physics,Mechanics,Easy
Solve the following question: Describe the carbon cycle and the human activities that affect it.,Biology,Ecology,Medium
"Detail the molecular mechanism of the lac operon model in Escherichia coli. Explain the role of the regulator, promoter, operator, and structural genes under lactose-absent and lactose-present conditions.",Biology,Genetics,Hard
Can you explain: Identify the functional group present in carboxylic acids.,Chemistry,Organic Chemistry,Easy
"Critically evaluate and solve: Find the equation of the tangent and normal to the curve x^(2/3) + y^(2/3) = a^(2/3) at the point (x1, y1).",Mathematics,Calculus,Hard
Can you explain: What is an ideal solution? Give an example.,Chemistry,Physical Chemistry,Easy
Can you explain: State the first law of thermodynamics in mathematical form.,Physics,Thermodynamics,Easy
"Critically evaluate and solve: Explain the band theory of metals, semiconductors, and insulators, detailing the role of doping (n-type and p-type) with appropriate examples from Group 13 and 15 elements.",Chemistry,Inorganic Chemistry,Hard
Solve the following question: Explain the sliding filament theory of muscle contraction.,Biology,Human Physiology,Medium
"State clearly: Find the midpoint of the line segment joining (2, 8) and (6, 2).",Mathematics,Coordinate Geometry,Easy
For JEE/NEET preparation: Find the term independent of x in the expansion of (2x + 1/(3x^2))^9.,Mathematics,Algebra,Medium
"Find the equation of the tangent to the parabola y^2 = 8x at the point (2, 4).",Mathematics,Coordinate Geometry,Medium
"Advanced problem: In an LCR series circuit connected to an AC source V = V_0 sin(wt), find the resonance frequency, power factor, and quality factor Q when R = 10 ohms, L = 2 H, and C = 5 uF. Show detailed steps.",Physics,Electrodynamics,Hard
For JEE/NEET preparation: Determine the area bounded by the curve y = x^2 and the line y = 4.,Mathematics,Calculus,Medium
Can you explain: What is the acceleration due to gravity on the surface of the Earth?,Physics,Mechanics,Easy
State clearly: Solve the quadratic equation: x^2 - 5x + 6 = 0.,Mathematics,Algebra,Easy
"Calculate the packing efficiency of a body-centered cubic (BCC) and face-centered cubic (FCC) lattice, proving the mathematical relation between edge length 'a' and atomic radius 'r'.",Chemistry,Physical Chemistry,Hard
For JEE/NEET preparation: A Carnot engine operates between temperatures 300 K and 600 K. Find its efficiency.,Physics,Thermodynamics,Medium
State the first law of thermodynamics in mathematical form.,Physics,Thermodynamics,Easy
Advanced problem: A cylinder of mass M and radius R rolls without slipping down an inclined plane of angle theta. Determine the acceleration of its center of mass using torque analysis. Show detailed steps.,Physics,Mechanics,Hard
"Identify which of the following is a scalar quantity: work, force, acceleration.",Physics,Mechanics,Easy
"Can you explain: Identify which of the following is a scalar quantity: work, force, acceleration.",Physics,Mechanics,Easy
"Discuss the diagonal relationship between Lithium and Magnesium, explaining the anomalies in their carbonates, nitrides, and fluorides.",Chemistry,Inorganic Chemistry,Hard
"Advanced problem: Find the equation of the tangent and normal to the curve x^(2/3) + y^(2/3) = a^(2/3) at the point (x1, y1). Show detailed steps.",Mathematics,Calculus,Hard
Advanced problem: A double pendulum consists of two masses m1 and m2 connected by light strings of length l1 and l2. Derive the Lagrangian and calculate the equations of motion. Show detailed steps.,Physics,Mechanics,Hard
Evaluate the integral of x * ln(x) dx using integration by parts.,Mathematics,Calculus,Medium
"Analyze the competitive exclusion principle proposed by Gause, and explain resource partitioning as a mechanism for co-existence in ecological niches with real examples.",Biology,Ecology,Hard
"Advanced problem: Explain the digestion and absorption of fats in the human gastrointestinal tract, detailing the role of bile salts, micelle formation, pancreatic lipase, and chylomicron transport in lacteals. Show detailed steps.",Biology,Human Physiology,Hard
"Critically evaluate and solve: If z = x + iy is a complex number satisfying |z - 1| = 2|z + 1|, show that the locus of z is a circle and find its center and radius.",Mathematics,Algebra,Hard
Critically evaluate and solve: A spaceship is orbiting earth at distance 2R. An astronaut ejects a capsule with relative velocity v_0. Find the condition for the capsule to escape earth's gravity.,Physics,Mechanics,Hard
Advanced problem: Find the equation of the common tangent to the circle x^2 + y^2 = 8 and the parabola y^2 = 16x. Show detailed steps.,Mathematics,Coordinate Geometry,Hard
State clearly: State Ohm's Law and define resistance.,Physics,Electrodynamics,Easy
An ideal gas undergoes an isothermal expansion from volume V to 3V. Calculate the work done by the gas.,Physics,Thermodynamics,Medium
For JEE/NEET preparation: Find the change in internal energy when 2 moles of an ideal diatomic gas are heated from 20 to 100 degrees Celsius at constant volume.,Physics,Thermodynamics,Medium
State clearly: Define isomerism with an example.,Chemistry,Organic Chemistry,Easy
Critically evaluate and solve: Show that the line lx + my + n = 0 touches the ellipse x^2/a^2 + y^2/b^2 = 1 if a^2*l^2 + b^2*m^2 = n^2.,Mathematics,Coordinate Geometry,Hard
What is the acceleration due to gravity on the surface of the Earth?,Physics,Mechanics,Easy
State Coulomb's Law of electrostatics.,Physics,Electrodynamics,Easy
Determine the number of permutations of the letters in the word 'MATHEMATICS'.,Mathematics,Algebra,Medium
